# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3]
1000 100
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000371538 8e-05
37 0.9125 0.00640755 0.00154
38 0.9375 0.0701148 0.0184
39 0.9625 0.296421 0.09354
40 0.9875 0.667441 0.27162
41 1.0125 1.15666 0.59604
42 1.0375 1.53216 1.04726
43 1.0625 1.7868 1.59912
44 1.0875 1.85826 2.20038
45 1.1125 1.83448 2.82156
46 1.1375 1.70605 3.42552
47 1.1625 1.58699 4.01228
48 1.1875 1.44116 4.56828
49 1.2125 1.29273 5.08824
50 1.2375 1.17552 5.58076
51 1.2625 1.0859 6.05428
52 1.2875 1.03044 6.52158
53 1.3125 0.948564 6.96862
54 1.3375 0.895638 7.40696
55 1.3625 0.846532 7.83692
56 1.3875 0.827465 8.27274
57 1.4125 0.792214 8.70516
58 1.4375 0.768414 9.13958
59 1.4625 0.756835 9.58246
60 1.4875 0.726103 10.022
61 1.5125 0.726911 10.4769
62 1.5375 0.717246 10.9408
63 1.5625 0.716125 11.4191
64 1.5875 0.754321 11.9392
65 1.6125 0.773764 12.4896
66 1.6375 0.78146 13.0629
67 1.6625 0.814214 13.6785
68 1.6875 0.843335 14.3355
69 1.7125 0.871 15.0344
70 1.7375 0.900036 15.7777
71 1.7625 0.94647 16.5821
72 1.7875 0.996577 17.4533
73 1.8125 1.02276 18.3725
74 1.8375 1.04644 19.3392
75 1.8625 1.08849 20.3722
76 1.8875 1.1183 21.4622
77 1.9125 1.14403 22.607
78 1.9375 1.16882 23.8074
79 1.9625 1.17733 25.048
80 1.9875 1.18702 26.3307
81 2.0125 1.19129 27.6507
82 2.0375 1.1777 28.9883
83 2.0625 1.14801 30.3244
84 2.0875 1.119 31.6584
85 2.1125 1.09597 32.9965
86 2.1375 1.06184 34.3238
87 2.1625 1.04831 35.6649
88 2.1875 1.0333 37.0177
89 2.2125 1.00796 38.3675
