# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3]
1000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000947413 0.0002
37 0.9125 0.00976874 0.00238
38 0.9375 0.075566 0.02018
39 0.9625 0.25366 0.08316
40 0.9875 0.595064 0.23868
41 1.0125 1.01321 0.51706
42 1.0375 1.35723 0.9086
43 1.0625 1.57539 1.38524
44 1.0875 1.65858 1.91094
45 1.1125 1.6641 2.46292
46 1.1375 1.60128 3.0182
47 1.1625 1.49538 3.5598
48 1.1875 1.4063 4.09128
49 1.2125 1.30328 4.60478
50 1.2375 1.205 5.09934
51 1.2625 1.10813 5.5727
52 1.2875 1.03918 6.03436
53 1.3125 0.9991 6.49562
54 1.3375 0.912166 6.93294
55 1.3625 0.875262 7.3684
56 1.3875 0.829741 7.7965
57 1.4125 0.802388 8.22554
58 1.4375 0.774036 8.6542
59 1.4625 0.76364 9.09194
60 1.4875 0.756805 9.54072
61 1.5125 0.753655 10.0028
62 1.5375 0.754728 10.4809
63 1.5625 0.771088 10.9854
64 1.5875 0.785904 11.5162
65 1.6125 0.811434 12.0817
66 1.6375 0.81568 12.6678
67 1.6625 0.835858 13.287
68 1.6875 0.847755 13.934
69 1.7125 0.88558 14.63
70 1.7375 0.935379 15.3868
71 1.7625 0.966929 16.1917
72 1.7875 0.983701 17.0341
73 1.8125 1.01341 17.9263
74 1.8375 1.05091 18.8772
75 1.8625 1.06783 19.87
76 1.8875 1.09202 20.9126
77 1.9125 1.11827 22.0088
78 1.9375 1.13616 23.1518
79 1.9625 1.14968 24.3385
80 1.9875 1.16836 25.5753
81 2.0125 1.15139 26.8251
82 2.0375 1.1265 28.0784
83 2.0625 1.10844 29.342
84 2.0875 1.08719 30.6117
85 2.1125 1.07273 31.8947
86 2.1375 1.05583 33.1875
87 2.1625 1.02619 34.4736
88 2.1875 1.02627 35.7897
89 2.2125 1.01888 37.1263
90 2.2375 0.995826 38.4624
91 2.2625 0.993913 39.8259
92 2.2875 0.976557 41.1954
93 2.3125 0.966721 42.5808
94 2.3375 0.955933 43.9806
95 2.3625 0.939539 45.386
96 2.3875 0.948442 46.8348
97 2.4125 0.948723 48.3146
98 2.4375 0.932138 49.7989
99 2.4625 0.941343 51.3286
100 2.4875 0.939064 52.8859
2000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000284224 6e-05
37 0.9125 0.00967912 0.00222
38 0.9375 0.064783 0.01748
39 0.9625 0.243752 0.078
40 0.9875 0.597436 0.23414
41 1.0125 1.00579 0.51048
42 1.0375 1.38177 0.9091
43 1.0625 1.62483 1.4007
44 1.0875 1.71921 1.94562
45 1.1125 1.69992 2.50948
46 1.1375 1.5958 3.06286
47 1.1625 1.49422 3.60404
48 1.1875 1.39969 4.13302
49 1.2125 1.29287 4.64242
50 1.2375 1.18127 5.12724
51 1.2625 1.08439 5.59046
52 1.2875 1.01554 6.04162
53 1.3125 0.956429 6.48318
54 1.3375 0.904616 6.91688
55 1.3625 0.875302 7.35236
56 1.3875 0.845944 7.78882
57 1.4125 0.797526 8.21526
58 1.4375 0.779092 8.64672
59 1.4625 0.778573 9.09302
60 1.4875 0.745878 9.53532
61 1.5125 0.755547 9.99854
62 1.5375 0.764988 10.4832
63 1.5625 0.786188 10.9976
64 1.5875 0.784305 11.5273
65 1.6125 0.808277 12.0905
66 1.6375 0.826062 12.6842
67 1.6625 0.842176 13.308
68 1.6875 0.858814 13.9634
69 1.7125 0.881483 14.6562
70 1.7375 0.912859 15.3948
71 1.7625 0.937932 16.1756
72 1.7875 0.97611 17.0114
73 1.8125 1.01791 17.9076
74 1.8375 1.04572 18.8539
75 1.8625 1.08248 19.8602
76 1.8875 1.10704 20.9172
77 1.9125 1.11207 22.0073
78 1.9375 1.12839 23.1425
79 1.9625 1.15388 24.3335
80 1.9875 1.13435 25.5343
81 2.0125 1.14401 26.7761
82 2.0375 1.12741 28.0304
83 2.0625 1.11139 29.2974
84 2.0875 1.10503 30.5879
85 2.1125 1.08848 31.8897
86 2.1375 1.0659 33.1949
87 2.1625 1.04806 34.5084
88 2.1875 1.03789 35.8394
89 2.2125 1.01385 37.1694
90 2.2375 1.0003 38.5115
91 2.2625 0.984568 39.8622
92 2.2875 0.975488 41.2302
93 2.3125 0.971117 42.6219
94 2.3375 0.95611 44.022
95 2.3625 0.956346 45.4525
96 2.3875 0.94581 46.8973
97 2.4125 0.944889 48.3711
98 2.4375 0.934236 49.8587
99 2.4625 0.93861 51.384
100 2.4875 0.94343 52.9485
3000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.00555653 0.00124
38 0.9375 0.0652075 0.0166
39 0.9625 0.259057 0.08092
40 0.9875 0.57907 0.23226
41 1.0125 0.990429 0.50438
42 1.0375 1.37789 0.90188
